--fase1.tmx-- //pulo
--fase2.tmx-- //pulo e botao
--fase3.tmx-- //pulo e botao
--fase4.tmx-- //laser, esperar encher barra
--fase5.tmx-- //pulo, alterar tamanho X
--fase6.tmx-- //pulo, alterar tamanho X
--fase7.tmx-- //botao, alterar Y para desacelerar
--fase8.tmx-- //laser, alterar Y para acelerar
--fase9.tmx-- //laser, alterar tamanho X
--fase10.tmx-- //laser, reflector e empurrar
--fase11.tmx-- //laser, reflector e empurrar
--fase12.tmx-- //laser, diminuir e aumentar Y para passar
--fase13.tmx-- //laser, achar posição exata
--fase14.tmx-- //laser, movimentar constantemente
